,building_type,total_area_of_buildings,num_of_buildings,num_of_floors,num_of_resdnts_units,num_of_units,condo?,coop?,primary_fuel,boiler_capacity,total_consumption_gallons,boiler_install_date
6143,Office Buildings,58269.0,1.0,6.0,64.0,71.0, , ,#6,3.3,29675.0,2007
6144,"Churches, Synagogues, etc.",28416.0,1.0,6.0,31.0,31.0, , ,#6,3.3,29675.0,2005
6145,Hotels,43248.0,1.0,6.0,52.0,52.0, , ,#6,4.2,29675.0,2001
6146,Elevator Apartments,53202.0,1.0,6.0,43.0,43.0, , ,#6,3.3,29675.0,2005
6147,Office Buildings,48233.0,1.0,6.0,38.0,42.0, , ,#6,3.3,29675.0,2008
6148,Elevator Apartments,77829.0,1.0,11.0,90.0,90.0, ,YES,#6,3.79,29675.0,1999
6149,Elevator Apartments,64074.0,1.0,6.0,43.0,44.0, , ,#6,3.3,29675.0,2005
6150,Condominiums,37690.0,1.0,5.0,53.0,53.0, , ,#6,3.3,29675.0,2009
6151,Loft Buildings,60414.0,1.0,6.0,42.0,42.0, , ,#6,4.2,29675.0,2001
6152,Elevator Apartments,92065.0,1.0,20.0,61.0,61.0, , ,#6,4.2,29675.0,2000
6153,Elevator Apartments,44818.0,1.0,6.0,32.0,38.0, , ,#6,3.79,29675.0,1999
6154,Elevator Apartments,74396.0,1.0,15.0,31.0,31.0, , ,#6,4.2,29675.0,2000
6155,Walk-Up Apartments,59200.0,1.0,6.0,45.0,49.0, , ,#6,3.3,29675.0,2008
6156,Condominiums,42186.0,1.0,6.0,48.0,48.0, , ,#6,3.3,29675.0,2007
6157,Elevator Apartments,42438.0,1.0,6.0,48.0,48.0, , ,#6,3.0,29675.0,2006
6158,Elevator Apartments,54528.0,1.0,6.0,49.0,49.0, , ,#6,3.3,29675.0,2005
6159,Office Buildings,47673.0,1.0,9.0,40.0,40.0, , ,#6,3.3,29675.0,2008
6160,Condominiums,34490.0,1.0,5.0,40.0,40.0, , ,#6,3.3,29675.0,2008
6161,Elevator Apartments,50700.0,1.0,6.0,49.0,49.0, , ,#6,3.3,29675.0,2007
6162,Walk-Up Apartments,64058.0,1.0,15.0,28.0,30.0, ,YES,#6,4.2,29675.0,2002
6163,Walk-Up Apartments,60198.0,1.0,6.0,67.0,67.0, , ,#6,4.2,29675.0,1996
6164,Office Buildings,54684.0,1.0,6.0,60.0,60.0, ,YES,#6,3.79,29675.0,1993
6165,Loft Buildings,52206.0,1.0,6.0,49.0,53.0, , ,#6,4.2,29675.0,1994
6166,Elevator Apartments,42204.0,1.0,6.0,65.0,65.0, , ,#4,3.79,29674.0,1995
6167,Office Buildings,30635.0,1.0,5.0,60.0,60.0, , ,#6,2.8,29638.0,1982
6168,Elevator Apartments,40966.0,1.0,10.0,31.0,31.0, , ,#6,2.8,29638.0,1985
6169,Elevator Apartments,253045.0,1.0,7.0,0.0,8.0,YES, ,#4,4.1,29580.0,1984
6170,Elevator Apartments,26280.0,1.0,6.0,49.0,49.0, , ,#4,2.9,29565.0,1983
6171,Elevator Apartments,13752.0,1.0,6.0,30.0,31.0, , ,#4,2.9,29565.0,1981
6172,Elevator Apartments,42924.0,1.0,6.0,41.0,41.0, , ,#4,3.27,29565.0,1986
6173,Elevator Apartments,34486.0,1.0,5.0,38.0,44.0, , ,#6,2.8,29565.0,1980
6174,Elevator Apartments,24968.0,1.0,6.0,54.0,54.0, , ,#6,2.84,29565.0,1994
6175,Office Buildings,37251.0,1.0,9.0,38.0,38.0, , ,#6,3.28,29565.0,1994
6176,Elevator Apartments,5175.0,1.0,5.0,4.0,5.0, , ,#4,2.94,29500.0,1983
6177,Elevator Apartments,24924.0,1.0,6.0,23.0,24.0, , ,#4,3.1,29500.0,1983
6178,Walk-Up Apartments,38928.0,1.0,9.0,38.0,38.0, , ,#6,3.1,29500.0,1983
6179,Elevator Apartments,39330.0,1.0,3.0,42.0,42.0, , ,#6,2.8,29492.0,1985
6180,Office Buildings,55120.0,1.0,5.0,0.0,20.0, , ,#4,4.1,29476.0,1987
6181,Elevator Apartments,44310.0,1.0,6.0,48.0,48.0, , ,#4,3.4,29400.0,1980
6182,Walk-Up Apartments,16479.0,1.0,6.0,22.0,25.0, , ,#4,2.8,29382.0,1995
6183,Elevator Apartments,42000.0,1.0,8.0,40.0,40.0, , ,#4,2.94,29365.0,1981
6184,Elevator Apartments,19450.0,1.0,5.0,29.0,29.0, , ,#4,1.8,29200.0,1973
6185,Elevator Apartments,29040.0,1.0,6.0,36.0,36.0, , ,#4,2.89,29200.0,1977
6186,Elevator Apartments,21330.0,1.0,5.0,36.0,41.0, , ,#4,2.59,29200.0,1981
6187,Elevator Apartments,52200.0,3.0,6.0,105.0,105.0, ,YES,#4,2.2,29200.0,1983
6188,Walk-Up Apartments,22073.0,1.0,3.0,0.0,0.0, , ,#4,2.4,29200.0,1973
6189,Elevator Apartments,70828.0,1.0,15.0,0.0,30.0, , ,#4,4.2,29200.0,1979
6190,Elevator Apartments,21270.0,1.0,6.0,35.0,35.0, , ,#4,2.0,29200.0,1986
6191,Walk-Up Apartments,51744.0,1.0,9.0,34.0,37.0, ,YES,#6,2.8,29200.0,1971
6192,Walk-Up Apartments,94075.0,1.0,11.0,0.0,18.0, , ,#6,6.3,29200.0,1980
6193,Elevator Apartments,42763.0,1.0,6.0,49.0,49.0, , ,#6,2.8,29200.0,1972
6194,Elevator Apartments,21536.0,1.0,6.0,33.0,35.0, , ,#6,2.8,29200.0,1974
6195,Elevator Apartments,55595.0,1.0,5.0,62.0,62.0, , ,#6,5.3,29200.0,1980
6196,Condominiums,42042.0,1.0,6.0,46.0,46.0, , ,#4,3.01,29127.0,2002
6197,Elevator Apartments,43536.0,1.0,6.0,42.0,42.0, , ,#4,3.01,29127.0,2002
6198,Walk-Up Apartments,31470.0,1.0,9.0,47.0,47.0, , ,#4,3.01,29127.0,2003
6199,Elevator Apartments,47580.0,1.0,6.0,41.0,41.0, , ,#4,3.0,29127.0,2008
6200,Elevator Apartments,38510.0,1.0,5.0,45.0,45.0, , ,#4,3.78,29127.0,2001
6201,Condominiums,39485.0,1.0,5.0,45.0,45.0, , ,#4,3.78,29127.0,2001
6202,Elevator Apartments,60000.0,1.0,10.0,18.0,19.0, ,YES,#4,3.01,29127.0,2003
6203,Walk-Up Apartments,34140.0,1.0,6.0,72.0,72.0, , ,#4,3.7,29127.0,1996
6204,Elevator Apartments,39176.0,1.0,6.0,43.0,47.0, , ,#4,3.0,29127.0,2007
6205,Walk-Up Apartments,44919.0,1.0,7.0,76.0,76.0, , ,#4,4.9,29127.0,1992
6206,Utility Bureau,39504.0,1.0,6.0,43.0,44.0, , ,#4,3.72,29127.0,1998
6207,Elevator Apartments,52290.0,1.0,6.0,48.0,48.0, , ,#4,3.01,29127.0,2003
6208,Walk-Up Apartments,44249.0,3.0,7.0,82.0,86.0, , ,#4,3.72,29127.0,1994
6209,Elevator Apartments,26955.0,2.0,5.0,41.0,44.0, , ,#4,3.78,29127.0,2002
6210,Hospitals & Health,40600.0,1.0,7.0,103.0,105.0, , ,#4,3.72,29127.0,1999
6211,Elevator Apartments,45209.0,1.0,7.0,37.0,41.0, , ,#4,3.0,29127.0,2008
6212,Elevator Apartments,15525.0,1.0,5.0,15.0,15.0, , ,#4,3.7,29127.0,1999
6213,Elevator Apartments,63479.0,1.0,11.0,0.0,15.0, , ,#4,3.78,29127.0,2001
6214,Elevator Apartments,44275.0,1.0,6.0,35.0,38.0, , ,#4,3.01,29127.0,2003
6215,Educational Structures,35239.0,1.0,6.0,60.0,60.0,YES, ,#4,3.72,29127.0,1998
6216,Elevator Apartments,47550.0,3.0,5.0,38.0,38.0, , ,#4,3.7,29127.0,1984
6217,Elevator Apartments,71250.0,1.0,12.0,0.0,1.0, , ,#4,3.7,29125.0,1993
6218,Walk-Up Apartments,53538.0,1.0,6.0,54.0,54.0, , ,#4,3.72,29120.0,1995
6219,Elevator Apartments,52038.0,1.0,6.0,54.0,54.0, , ,#4,3.72,29120.0,1994
6220,Elevator Apartments,70642.0,1.0,11.0,0.0,1.0, , ,#4,4.07,29100.0,1994
6221,Elevator Apartments,63791.0,1.0,12.0,0.0,14.0, , ,#4,4.06,29000.0,1999
6222,Walk-Up Apartments,47400.0,1.0,6.0,52.0,52.0, , ,#4,4.06,29000.0,1994
6223,Elevator Apartments,136603.0,1.0,12.0,0.0,22.0, , ,#4,6.0,29000.0,1985
6224,Elevator Apartments,104500.0,1.0,10.0,0.0,19.0, , ,#4,6.0,29000.0,1985
6225,Elevator Apartments,33755.0,1.0,5.0,35.0,41.0, , ,#4,2.77,29000.0,1993
6226,Elevator Apartments,9440.0,1.0,5.0,20.0,20.0, , ,#4,2.77,28908.0,1998
6227,Walk-Up Apartments,32599.0,1.0,5.0,39.0,39.0, , ,#4,2.94,28900.0,2000
6228,Garages & Gasoline Stations,42064.0,1.0,5.0,48.0,48.0, , ,#4,3.85,28743.0,1998
6229,Elevator Apartments,52896.0,1.0,6.0,48.0,48.0, , ,#6,3.79,28685.0,1993
6230,Cultural & Public Assembly,67051.0,1.0,10.0,0.0,18.0, , ,#6,5.2,28500.0,1984
6231,Walk-Up Apartments,76547.0,1.0,12.0,0.0,25.0, , ,#6,5.2,28500.0,1984
6232,Walk-Up Apartments,17760.0,1.0,6.0,30.0,30.0, , ,#4,1.67,28400.0,2002
6233,Miscellaneous,22570.0,1.0,5.0,24.0,24.0, , ,#4,2.0,28367.0,2008
6234,Elevator Apartments,24465.0,1.0,5.0,35.0,35.0, , ,#4,2.6,28361.0,1989
6235,Elevator Apartments,33696.0,1.0,6.0,30.0,30.0, , ,#4,2.6,28361.0,1985
6236,Elevator Apartments,25822.0,1.0,5.0,30.0,32.0, , ,#4,2.6,28361.0,1988
6237,Elevator Apartments,16680.0,1.0,6.0,24.0,24.0, , ,#4,2.6,28361.0,1987
6238,Walk-Up Apartments,18050.0,1.0,6.0,25.0,25.0, , ,#4,2.0,28361.0,2007
6239,Elevator Apartments,23508.0,1.0,4.0,36.0,36.0, , ,#4,2.6,28361.0,1989
6240,Walk-Up Apartments,23700.0,1.0,5.0,41.0,41.0, , ,#4,2.0,28361.0,2007
6241,Condominiums,9450.0,1.0,4.0,20.0,20.0, , ,#4,2.59,28361.0,2002
6242,Elevator Apartments,10950.0,1.0,6.0,20.0,22.0, , ,#4,2.6,28361.0,1987
6243,Elevator Apartments,18965.0,2.0,5.0,20.0,20.0, , ,#4,2.6,28361.0,1991
6244,Elevator Apartments,30140.0,1.0,5.0,34.0,37.0, , ,#4,2.6,28361.0,1986
6245,Elevator Apartments,27210.0,1.0,5.0,45.0,45.0, , ,#4,2.6,28361.0,1995
6246,Elevator Apartments,25500.0,1.0,6.0,0.0,1.0, , ,#4,2.6,28290.0,1985
6247,Elevator Apartments,85869.0,1.0,12.0,0.0,16.0, , ,#4,4.1,28125.0,2005
6248,Loft Buildings,65447.0,1.0,16.0,2.0,22.0, , ,#4,5.3,28125.0,1997
6249,Elevator Apartments,19745.0,1.0,3.0,0.0,1.0, , ,#4,5.25,28125.0,1984
6250,Educational Structures,89389.0,1.0,12.0,0.0,13.0, , ,#4,4.18,28125.0,2003
6251,Elevator Apartments,108214.0,1.0,22.0,0.0,25.0, , ,#4,4.18,28125.0,2003
6252,Educational Structures,115763.0,1.0,12.0,0.0,18.0, , ,#6,5.2,28125.0,1981
6253,Elevator Apartments,646044.0,1.0,16.0,434.0,434.0, ,YES,#6,8.55,28106.0,1998
6254,Elevator Apartments,46621.0,1.0,9.0,38.0,38.0, , ,#6,3.4,28032.0,1982
6255,Elevator Apartments,42924.0,1.0,6.0,37.0,37.0, , ,#6,3.78,28032.0,1986
6256,Elevator Apartments,23700.0,1.0,5.0,41.0,41.0, , ,#4,2.59,28000.0,1986
6257,Elevator Apartments,55382.0,1.0,9.0,36.0,36.0, ,YES,#4,3.72,28000.0,1986
6258,Elevator Apartments,24486.0,1.0,6.0,43.0,45.0, , ,#4,2.9,28000.0,1985
6259,Walk-Up Apartments,52943.0,1.0,6.0,55.0,55.0, , ,#4,4.2,28000.0,1989
6260,Warehouses,31500.0,1.0,5.0,40.0,40.0, , ,#4,2.5,28000.0,1986
6261,Office Buildings,77615.0,1.0,12.0,19.0,20.0, ,YES,#6,4.2,28000.0,1969
6262,Elevator Apartments,72649.0,1.0,20.0,0.0,0.0, , ,#6,4.2,28000.0,1983
6263,Office Buildings,41176.0,1.0,6.0,46.0,46.0, , ,#6,4.2,28000.0,1988
6264,Elevator Apartments,38670.0,1.0,6.0,36.0,36.0, , ,#6,3.78,28000.0,1986
6265,Walk-Up Apartments,29860.0,1.0,6.0,30.0,30.0, , ,#4,2.94,27923.0,2001
6266,Elevator Apartments,46810.0,1.0,6.0,60.0,60.0, , ,#6,3.01,27923.0,2003
6267,Elevator Apartments,49422.0,1.0,6.0,44.0,46.0, , ,#6,3.01,27923.0,2003
6268,Elevator Apartments,41490.0,1.0,6.0,54.0,54.0, , ,#6,3.57,27923.0,1999
6269,Elevator Apartments,44644.0,1.0,6.0,43.0,43.0, , ,#6,3.57,27923.0,1999
6270,Elevator Apartments,47472.0,1.0,6.0,18.0,27.0, , ,#6,3.57,27922.0,1997
6271,Elevator Apartments,42933.0,1.0,6.0,52.0,52.0, , ,#6,3.57,27922.0,1994
6272,Walk-Up Apartments,40122.0,1.0,6.0,55.0,59.0, , ,#6,3.57,27922.0,1997
6273,Office Buildings,13500.0,1.0,5.0,16.0,16.0, , ,#4,1.4,27814.0,1980
6274,Elevator Apartments,23577.0,1.0,6.0,44.0,44.0, , ,#4,2.6,27740.0,1982
6275,Walk-Up Apartments,41016.0,1.0,8.0,32.0,32.0, , ,#4,2.9,27740.0,1983
6276,Office Buildings,68178.0,1.0,6.0,45.0,47.0, , ,#6,3.3,27675.0,2007
6277,Elevator Apartments,41799.0,1.0,11.0,0.0,11.0, , ,#6,3.8,27612.0,1986
6278,Elevator Apartments,52672.0,1.0,19.0,23.0,23.0, , ,#4,3.9,27563.0,1987
6279,Elevator Apartments,47145.0,1.0,6.0,37.0,41.0, , ,#4,4.2,27563.0,1988
6280,Elevator Apartments,51550.0,1.0,6.0,40.0,42.0, , ,#4,4.2,27563.0,1987
6281,Elevator Apartments,72222.0,1.0,6.0,54.0,54.0, , ,#6,3.34,27563.0,1986
6282,Elevator Apartments,76660.0,1.0,12.0,0.0,85.0, , ,#4,3.92,27563.0,1993
6283,Office Buildings,60043.0,1.0,13.0,102.0,102.0, ,YES,#6,3.34,27562.0,1992
6284,Elevator Apartments,33220.0,1.0,6.0,32.0,32.0, , ,#4,2.6,27527.0,1982
6285,Office Buildings,53123.0,1.0,6.0,55.0,59.0, , ,#4,3.8,27500.0,1988
6286,Walk-Up Apartments,266446.0,1.0,43.0,218.0,221.0, , ,#6,2.84,27375.0,1996
6287,Office Buildings,29040.0,1.0,10.0,0.0,13.0, , ,#4,2.3,27266.0,1985
6288,Elevator Apartments,43050.0,1.0,6.0,39.0,39.0, , ,#6,3.1,27225.0,1989
6289,Walk-Up Apartments,37299.0,1.0,7.0,46.0,49.0, , ,#4,2.77,27106.0,1996
6290,Elevator Apartments,40860.0,4.0,6.0,0.0,27.0, , ,#4,3.7,27104.0,1986
6291,Elevator Apartments,38802.0,1.0,6.0,44.0,50.0, , ,#4,3.36,27101.0,1993
6292,Factory & Industrial Buildings,58538.0,1.0,17.0,0.0,62.0, , ,#6,4.2,27100.0,1996
6293,Elevator Apartments,39050.0,1.0,5.0,32.0,40.0, , ,#4,2.6,27010.0,1983
6294,Elevator Apartments,32658.0,1.0,6.0,41.0,41.0, , ,#4,2.59,27010.0,1986
6295,Walk-Up Apartments,28168.0,1.0,9.0,19.0,19.0, , ,#4,2.5,27010.0,1985
6296,Vacant Land,27308.0,1.0,9.0,20.0,20.0, , ,#4,2.5,27010.0,1985
6297,Elevator Apartments,32964.0,1.0,6.0,42.0,42.0, , ,#4,2.8,27010.0,1987
6298,Elevator Apartments,39780.0,1.0,5.0,41.0,46.0, , ,#4,2.59,27010.0,1986
6299,Elevator Apartments,9625.0,1.0,5.0,20.0,20.0, , ,#4,2.6,27010.0,1985
6300,Elevator Apartments,23235.0,1.0,5.0,31.0,31.0, , ,#4,2.59,27010.0,1995
6301,Hotels,22005.0,1.0,6.0,39.0,41.0, , ,#4,2.8,27010.0,1984
6302,Loft Buildings,22785.0,2.0,5.0,34.0,38.0, , ,#4,2.6,27010.0,1983
6303,Walk-Up Apartments,37371.0,1.0,9.0,0.0,3.0, , ,#4,1.9,27010.0,1979
6304,Elevator Apartments,27600.0,1.0,6.0,42.0,42.0, , ,#4,2.6,27010.0,1984
6305,Condominiums,32928.0,1.0,6.0,36.0,36.0, , ,#4,2.6,27010.0,1984
6306,Elevator Apartments,93857.0,1.0,15.0,61.0,61.0, ,YES,#4,3.7,27000.0,1984
6307,Elevator Apartments,42630.0,3.0,5.0,40.0,42.0, , ,#4,3.1,27000.0,1982
6308,Elevator Apartments,30702.0,1.0,7.0,0.0,1.0, , ,#4,3.7,27000.0,1985
6309,Walk-Up Apartments,50425.0,4.0,4.0,31.0,34.0, , ,#6,4.1,27000.0,1984
6310,Elevator Apartments,60000.0,1.0,12.0,0.0,20.0, , ,#6,4.2,27000.0,1983
6311,Elevator Apartments,10688.0,1.0,6.0,16.0,18.0, , ,#4,2.4,26937.0,1983
6312,Walk-Up Apartments,35045.0,1.0,5.0,56.0,56.0, , ,#4,4.2,26912.0,1980
6313,Walk-Up Apartments,14540.0,1.0,5.0,16.0,16.0, , ,#4,2.6,26898.0,1980
6314,Elevator Apartments,41095.0,1.0,5.0,0.0,67.0, , ,#4,2.67,26828.0,2003
6315,Condominiums,51744.0,1.0,9.0,34.0,37.0, ,YES,#4,2.67,26828.0,2005
6316,Elevator Apartments,55392.0,1.0,12.0,0.0,41.0, , ,#4,3.43,26828.0,1996
6317,Walk-Up Apartments,42232.0,1.0,13.0,78.0,82.0, , ,#4,2.6,26828.0,2005
6318,Walk-Up Apartments,35270.0,1.0,5.0,47.0,51.0, , ,#4,3.43,26828.0,2000
6319,Walk-Up Apartments,15726.0,1.0,6.0,30.0,31.0, , ,#4,3.43,26828.0,1997
6320,Elevator Apartments,30777.0,1.0,7.0,42.0,42.0, , ,#4,2.67,26828.0,2003
6321,Elevator Apartments,33300.0,1.0,5.0,59.0,59.0, , ,#4,3.43,26828.0,2000
6322,Elevator Apartments,42338.0,1.0,6.0,36.0,36.0, , ,#4,2.6,26828.0,2008
6323,Elevator Apartments,14535.0,1.0,5.0,20.0,20.0, , ,#4,3.43,26828.0,1999
6324,Walk-Up Apartments,30400.0,1.0,5.0,40.0,40.0, , ,#4,2.68,26828.0,2002
6325,Office Buildings,38983.0,1.0,9.0,18.0,19.0, , ,#4,3.43,26828.0,1998
6326,Office Buildings,13640.0,1.0,5.0,26.0,26.0, , ,#4,2.67,26828.0,2003
6327,Elevator Apartments,41931.0,1.0,10.0,48.0,48.0, , ,#4,3.43,26828.0,1999
6328,Elevator Apartments,32295.0,1.0,5.0,44.0,44.0, , ,#4,2.6,26828.0,2006
6329,Elevator Apartments,33402.0,1.0,6.0,33.0,33.0, , ,#4,3.36,26828.0,2002
6330,Elevator Apartments,32520.0,1.0,6.0,30.0,30.0, , ,#4,3.36,26828.0,2001
6331,Elevator Apartments,37700.0,1.0,5.0,49.0,49.0, , ,#4,3.01,26828.0,2003
6332,Elevator Apartments,40580.0,1.0,5.0,36.0,43.0, , ,#4,2.67,26828.0,2003
6333,Walk-Up Apartments,51414.0,1.0,9.0,37.0,37.0, , ,#4,2.68,26828.0,2002
6334,Walk-Up Apartments,37860.0,1.0,6.0,48.0,48.0, , ,#4,2.6,26828.0,2007
6335,Walk-Up Apartments,49340.0,1.0,6.0,32.0,33.0, , ,#4,2.6,26828.0,2009
6336,Elevator Apartments,33268.0,1.0,6.0,43.0,44.0, , ,#4,3.36,26828.0,2001
6337,Elevator Apartments,20840.0,1.0,5.0,25.0,25.0, , ,#4,3.43,26828.0,1998
6338,Elevator Apartments,43290.0,1.0,6.0,47.0,47.0, , ,#6,3.43,26828.0,1997
6339,Elevator Apartments,41230.0,1.0,5.0,40.0,40.0, , ,#4,3.36,26828.0,2001
6340,Elevator Apartments,27280.0,2.0,5.0,52.0,52.0, , ,#4,2.67,26828.0,2003
6341,Elevator Apartments,58300.0,1.0,8.0,48.0,48.0, , ,#4,3.43,26828.0,1994
6342,Elevator Apartments,46137.0,1.0,9.0,49.0,50.0, , ,#4,3.43,26828.0,1991
6343,Elevator Apartments,20365.0,1.0,6.0,31.0,31.0, , ,#4,2.03,26828.0,1995
6344,"Churches, Synagogues, etc.",39264.0,1.0,6.0,41.0,41.0, , ,#4,3.43,26828.0,1994
6345,Elevator Apartments,49150.0,1.0,9.0,34.0,37.0, , ,#6,3.43,26828.0,1996
6346,Elevator Apartments,46932.0,1.0,6.0,60.0,60.0, , ,#4,2.67,26827.0,2005
6347,Elevator Apartments,58254.0,1.0,7.0,43.0,47.0, , ,#4,3.0,26827.0,2005
6348,Walk-Up Apartments,7175.0,1.0,5.0,10.0,10.0, , ,#4,2.6,26826.0,2008
6349,Elevator Apartments,42798.0,1.0,6.0,48.0,48.0, , ,#4,3.4,26825.0,1992
6350,Elevator Apartments,39035.0,1.0,5.0,46.0,46.0, , ,#4,2.6,26825.0,2008
6351,Office Buildings,31250.0,1.0,6.0,36.0,36.0, , ,#4,2.6,26825.0,2006
6352,Elevator Apartments,38100.0,1.0,5.0,47.0,47.0, , ,#4,3.43,26800.0,1994
6353,Elevator Apartments,68225.0,1.0,14.0,99.0,99.0, ,YES,#4,6.3,26700.0,2002
6354,Walk-Up Apartments,55200.0,1.0,12.0,22.0,23.0, , ,#4,3.72,26600.0,1998
6355,Elevator Apartments,72643.0,1.0,6.0,80.0,89.0, , ,#4,5.8,26550.0,1991
6356,Walk-Up Apartments,141355.0,1.0,12.0,0.0,35.0, , ,#6,9.9,26500.0,1981
6357,Elevator Apartments,47180.0,1.0,6.0,52.0,52.0, , ,#4,4.06,26463.0,1986
6358,Elevator Apartments,101221.0,1.0,19.0,114.0,115.0, ,YES,#6,4.1,26280.0,1988
6359,Walk-Up Apartments,27108.0,1.0,6.0,37.0,37.0, , ,#4,2.9,26280.0,1988
6360,Walk-Up Apartments,50000.0,1.0,6.0,42.0,42.0, , ,#4,3.1,26280.0,1988
6361,Educational Structures,43706.0,1.0,6.0,0.0,11.0, , ,#4,2.59,26280.0,1993
6362,Condominiums,39075.0,1.0,7.0,0.0,6.0, , ,#4,2.5,26280.0,1970
6363,Elevator Apartments,47293.0,1.0,6.0,32.0,36.0, , ,#6,3.57,26000.0,1986
6364,Elevator Apartments,44840.0,2.0,12.0,0.0,3.0, , ,#4,2.3,26000.0,1980
6365,Hotels,24426.0,1.0,6.0,40.0,42.0, , ,#4,3.43,26000.0,1989
6366,Walk-Up Apartments,34230.0,2.0,5.0,72.0,72.0, , ,#4,3.6,26000.0,1983
6367,Elevator Apartments,74826.0,1.0,6.0,65.0,65.0, , ,#6,4.95,25842.0,1986
6368,Elevator Apartments,108025.0,1.0,17.0,0.0,0.0, , ,#6,4.18,25800.0,2003
6369,Elevator Apartments,72984.0,1.0,13.0,0.0,14.0, , ,#6,4.1,25800.0,2007
6370,Elevator Apartments,95368.0,1.0,16.0,0.0,28.0, , ,#4,4.18,25800.0,2002
6371,Walk-Up Apartments,0.0,0.0,0.0,0.0,0.0, , ,#6,4.31,25800.0,2002
6372,Elevator Apartments,43173.0,1.0,6.0,62.0,62.0, , ,#6,3.28,25623.0,1998
6373,Educational Structures,43748.0,1.0,6.0,38.0,43.0, , ,#6,3.28,25623.0,1995
6374,Elevator Apartments,13916.0,1.0,5.0,20.0,20.0, , ,#4,2.5,25550.0,1967
6375,Office Buildings,40075.0,1.0,5.0,50.0,50.0, , ,#6,5.92,25550.0,1976
6376,Hospitals & Health,46153.0,1.0,6.0,0.0,1.0, , ,#6,3.3,25500.0,1984
6377,Condominiums,44352.0,1.0,12.0,0.0,6.0, , ,#6,3.57,25500.0,1994
6378,Elevator Apartments,51184.0,1.0,9.0,31.0,34.0, ,YES,#6,4.2,25480.0,1981
6379,Elevator Apartments,99922.0,1.0,11.0,0.0,70.0, , ,#6,8.4,25400.0,1969
6380,Hospitals & Health,115895.0,1.0,12.0,1.0,5.0, , ,#4,1.5,25312.0,1985
6381,Office Buildings,34200.0,1.0,5.0,49.0,49.0, , ,#4,7.9,25294.0,1992
6382,Walk-Up Apartments,30624.0,1.0,6.0,33.0,36.0, , ,#4,3.36,25294.0,1991
6383,Office Buildings,23505.0,1.0,5.0,32.0,32.0, , ,#4,2.32,25112.0,1987
6384,Walk-Up Apartments,44868.0,1.0,6.0,35.0,41.0, , ,#4,3.43,25039.0,1992
6385,Walk-Up Apartments,19662.0,1.0,6.0,24.0,24.0, , ,#4,3.43,25039.0,1993
6386,Elevator Apartments,46182.0,1.0,6.0,37.0,37.0, , ,#4,3.43,25039.0,1992
6387,Elevator Apartments,38563.0,1.0,6.0,45.0,45.0, , ,#4,3.43,25039.0,1986
6388,Elevator Apartments,36580.0,1.0,6.0,0.0,1.0, , ,#4,3.43,25039.0,1986
6389,Elevator Apartments,41034.0,1.0,9.0,36.0,36.0, , ,#6,2.8,25000.0,1982
6390,Elevator Apartments,10254.0,1.0,6.0,24.0,26.0, , ,#4,2.59,25000.0,1987
6391,Elevator Apartments,4174.0,1.0,11.0,31.0,33.0,YES, ,#6,5.32,25000.0,1990
6392,Elevator Apartments,38094.0,1.0,6.0,41.0,41.0, , ,#4,3.36,25000.0,1990
6393,Condominiums,42702.0,1.0,6.0,42.0,42.0, , ,#6,3.43,25000.0,1990
6394,Elevator Apartments,111270.0,1.0,12.0,0.0,1.0, , ,#4,9.8,25000.0,1970
6395,Elevator Apartments,71717.0,1.0,20.0,113.0,114.0,YES, ,#6,5.6,25000.0,1978
6396,Walk-Up Apartments,62605.0,1.0,10.0,40.0,40.0, ,YES,#6,4.2,25000.0,1989
6397,Elevator Apartments,47526.0,1.0,6.0,33.0,39.0, , ,#6,3.79,25000.0,1988
6398,Elevator Apartments,25586.0,1.0,6.0,26.0,27.0, , ,#4,2.1,25000.0,1984
6399,Walk-Up Apartments,78382.0,1.0,14.0,40.0,42.0, ,YES,#6,6.3,25000.0,1981
6400,Walk-Up Apartments,48083.0,1.0,6.0,50.0,50.0, , ,#6,3.6,25000.0,1986
6401,Educational Structures,38190.0,1.0,5.0,48.0,48.0, , ,#4,3.1,25000.0,1985
6402,Elevator Apartments,52332.0,1.0,6.0,42.0,42.0, ,YES,#6,3.43,25000.0,1988
6403,Elevator Apartments,27566.0,2.0,7.0,28.0,28.0, , ,#6,2.8,25000.0,1981
6404,Walk-Up Apartments,67800.0,1.0,6.0,55.0,63.0, , ,#6,4.2,25000.0,1992
6405,Elevator Apartments,115297.0,2.0,6.0,48.0,56.0,YES, ,#4,3.28,25000.0,1988
6406,Loft Buildings,115297.0,2.0,6.0,48.0,56.0,YES, ,#4,3.28,25000.0,1988
6407,Elevator Apartments,58596.0,1.0,6.0,49.0,49.0, , ,#4,3.72,25000.0,1987
6408,Store Buildings,115433.0,1.0,12.0,0.0,39.0, , ,#6,4.2,25000.0,1983
6409,Elevator Apartments,120790.0,1.0,18.0,0.0,111.0, , ,#6,3.9,25000.0,1969
6410,Office Buildings,54622.0,1.0,14.0,31.0,33.0,YES, ,#4,3.5,25000.0,1995
6411,Walk-Up Apartments,2245112.0,1.0,55.0,0.0,1.0, , ,#4,3.5,25000.0,1967
6412,Elevator Apartments,101800.0,2.0,5.0,89.0,89.0, , ,#4,2.3,25000.0,1985
6413,Elevator Apartments,35561.0,1.0,11.0,1.0,11.0, , ,#4,3.5,25000.0,1983
