,building_type,total_area_of_buildings,num_of_buildings,num_of_floors,num_of_resdnts_units,num_of_units,condo?,coop?,primary_fuel,boiler_capacity,total_consumption_gallons,boiler_install_date
2682,Elevator Apartments,19350.0,1.0,6.0,40.0,40.0, , ,#4,2.6,28361.0,1987
2683,Elevator Apartments,38052.0,2.0,2.0,0.0,0.0, , ,#4,2.6,28361.0,1983
2684,Elevator Apartments,34000.0,1.0,4.0,39.0,39.0, , ,#4,2.6,28361.0,1987
2685,Elevator Apartments,27500.0,1.0,4.0,32.0,32.0, , ,#4,2.2,28360.0,1984
2686,Walk-Up Apartments,23400.0,1.0,4.0,22.0,22.0, , ,#4,2.0,27922.0,1972
2687,Elevator Apartments,45120.0,2.0,4.0,40.0,45.0, , ,#4,2.9,27900.0,1984
2688,Loft Buildings,28860.0,1.0,4.0,20.0,20.0, , ,#4,2.6,27740.0,1983
2689,Elevator Apartments,353342.0,1.0,3.0,0.0,1.0, , ,#4,12.63,27500.0,1987
2690,Elevator Apartments,35950.0,4.0,4.0,48.0,48.0, , ,#4,2.6,27100.0,1975
2691,Elevator Apartments,27300.0,1.0,6.0,36.0,36.0, , ,#4,2.6,27010.0,1976
2692,Elevator Apartments,36105.0,1.0,5.0,39.0,39.0, , ,#4,2.6,27000.0,1984
2693,Elevator Apartments,42684.0,1.0,6.0,52.0,52.0, , ,#4,2.6,26827.0,2005
2694,Elevator Apartments,51176.0,1.0,6.0,62.0,62.0, , ,#4,3.4,26827.0,1995
2695,Elevator Apartments,131040.0,1.0,6.0,107.0,107.0, , ,#4,10.56,26700.0,1987
2696,Elevator Apartments,28000.0,1.0,4.0,32.0,32.0, , ,#4,2.6,26400.0,1982
2697,Elevator Apartments,45600.0,1.0,6.0,48.0,48.0, , ,#6,2.5,26280.0,1970
2698,Elevator Apartments,23200.0,1.0,4.0,31.0,31.0, , ,#4,3.6,26088.0,1978
2699,Office Buildings,32400.0,1.0,3.0,36.0,36.0, , ,#4,2.8,26000.0,1981
2700,Elevator Apartments,20160.0,1.0,4.0,27.0,27.0, , ,#4,2.5,25550.0,1964
2701,Elevator Apartments,44100.0,1.0,6.0,48.0,48.0, , ,#4,2.59,25000.0,1988
2702,Elevator Apartments,54854.0,1.0,6.0,48.0,48.0, , ,#4,3.72,25000.0,1988
2703,Elevator Apartments,31692.0,1.0,6.0,38.0,42.0, , ,#4,2.6,25000.0,1984
